sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
m;comercio;variedades;buenos aires;3;9;2018-04-23;3300000;microempresarial
f;industria;fabrica de;robledo;1;7;2017-11-28;7300000;microempresarial
f;industria;fabrica de;cabecera san antonio ;2;80;2016-05-13;3400000;microempresarial
f;comercio;tienda;robledo;2;7;2017-03-02;6000000;microempresarial
f;comercio;variedades;popular;2;1;2018-10-25;5000000;microempresarial
m;industria;fabrica de colchones;robledo;2;7;2018-01-29;7800000;microempresarial
f;comercio;variedades;enciso;2;8;2018-07-05;3500000;microempresarial
f;comercio;variedades;belencito;2;13;2016-09-30;6890000;microempresarial
m;comercio;variedades;girardot;3;5;2016-02-16;6890000;microempresarial
f;comercio;fabrica de helados;villa niza;2;2;2016-10-14;5000000;microempresarial
m;servicio;recreativo educativo;llanaditas;1;8;2018-07-10;1000000;microempresarial
f;comercio;variedades;belen;3;16;2016-07-18;6890000;microempresarial
f;servicio;comidas rapidas;cabecera san cristobal;2;60;2016-03-18;4000000;microempresarial
f;comercio;comidas rapidas;castilla;3;5;2018-11-09;5550000;microempresarial
f;servicio;publicidad y;aranjuez;2;4;2017-05-24;7300000;microempresarial
f;servicio;fabrica de;cabecera san antonio ;3;80;2017-09-20;5000000;microempresarial
f;industria;fabrica de alimentos;juan xxiii la quiebra;1;13;2018-04-18;5000000;microempresarial
f;comercio;almacen de ropa en;campo valdes no. 1;3;4;2019-03-21;8000000;microempresarial
f;servicio;mantenimiento en;andalucia;2;2;2018-06-21;5000000;microempresarial
f;comercio;peluqueria;san javier no.1;2;13;2018-09-24;7000000;microempresarial
m;comercio;charcuteria;llanaditas;1;8;2016-04-05;4000000;microempresarial
f;industria;ferreteria;popular;2;1;2018-08-14;3000000;microempresarial
f;comercio;restaurante;buenos aires;2;9;2019-01-21;7800000;microempresarial
m;servicio;joyeria;manrique central no. 1;2;4;2018-12-17;6500000;microempresarial
f;comercio;distribuidora de;doce de octubre no.1;1;6;2016-10-11;6890000;microempresarial
m;comercio;variedades;manrique central no. 1;2;4;2019-03-28;8280000;microempresarial
f;servicio;mantenimiento en;boyaca;3;10;2018-10-03;7800000;microempresarial
f;agropecuaria;venta de pollos;cabecera san cristobal;2;60;2017-10-02;4000000;microempresarial
f;comercio;carniceria;barrio caicedo;2;9;2017-03-21;7300000;microempresarial
m;comercio;distribuidora de;granizal;1;1;2018-11-14;7800000;microempresarial
f;comercio;miscelanea;robledo;2;7;2016-06-14;2000000;microempresarial
m;comercio;tienda;belen;3;16;2016-07-07;5000000;microempresarial
f;comercio;almacen de ropa en;olaya herrera;1;7;2017-10-26;7370000;microempresarial
f;comercio;restaurante;moravia;2;4;2017-11-09;7300000;microempresarial
m;servicio;cafeteria;florencia;3;5;2016-12-02;6890000;microempresarial
f;industria;fabrica de calzado;manrique central no. 1;2;4;2017-07-19;7000000;microempresarial
f;comercio;variedades;aranjuez;2;4;2018-07-27;5000000;microempresarial
f;comercio;almacen de ropa en;cabecera san antonio ;2;80;2017-10-30;5000000;microempresarial
f;comercio;papeleria;cabecera san cristobal;2;60;2018-11-13;7800000;microempresarial
m;comercio;fabrica de;la milagrosa;3;9;2018-08-22;7000000;microempresarial
m;servicio;cafeteria;santa ines;2;3;2018-04-27;1500000;microempresarial
f;servicio;peluqueria;manrique central no. 1;2;4;2018-09-12;4000000;microempresarial
f;comercio;miscelanea;picachito;2;6;2017-01-23;2000000;microempresarial
f;servicio;restaurante;el salvador;2;9;2016-04-19;5000000;microempresarial
f;comercio;carniceria;popular;1;1;2017-03-13;7300000;microempresarial
f;industria;fabrica de arepas;robledo;2;7;2016-04-12;6000000;microempresarial
f;comercio;venta de calzado;belencito;2;13;2018-10-12;3000000;microempresarial
m;servicio;mantenimiento en;bel¿n;3;16;2016-01-14;6400000;microempresarial
m;industria;fabrica de;santa lucia;1;12;2017-03-14;7377000;microempresarial
f;servicio;peluqueria;robledo;3;7;2017-05-31;7370000;microempresarial
f;comercio;papeleria;popular;1;1;2017-07-27;7377000;microempresarial
m;servicio;cafe e internet;robledo;2;7;2018-02-05;7000000;microempresarial
m;comercio;cafeteria;el vergel;2;80;2018-01-03;4000000;microempresarial
f;comercio;legumbreria;buenos aires;1;9;2017-11-14;6000000;microempresarial
m;servicio;variedades;aranjuez;2;4;2018-01-17;7300000;microempresarial
f;comercio;almacen de ropa en;alfonso lopez;3;5;2017-07-26;4400000;microempresarial
m;comercio;restaurante;buenos aires;3;9;2017-06-13;7377000;microempresarial
m;comercio;almacen de ropa en;san diego;2;10;2018-04-03;4000000;microempresarial
m;servicio;charcuteria;cabecera san cristobal;3;60;2018-01-03;7300000;microempresarial
m;industria;fabrica de;vrda. san antonio ;2;80;2016-02-02;600000;microempresarial
f;comercio;variedades;belen;3;16;2016-04-11;6890000;microempresarial
m;servicio;fabrica de;aranjuez;3;4;2016-06-20;6890000;microempresarial
m;industria;fabrica de alimentos;campo valdes no. 1;3;4;2018-05-29;7000000;microempresarial
f;comercio;almacen de ropa en;el salvador;3;9;2017-03-10;7377000;microempresarial
m;comercio;variedades;villa hermosa;3;8;2019-03-21;1500000;microempresarial
m;comercio;variedades;pablo vi;2;2;2018-06-19;7000000;microempresarial
m;comercio;almacen de ropa en;pedregal;2;6;2018-10-26;2500000;microempresarial
f;industria;fabrica de;castilla;1;5;2016-07-11;3500000;microempresarial
f;comercio;variedades;robledo;2;7;2018-11-20;7000000;microempresarial
f;comercio;papeleria;popular;2;1;2017-06-21;3000000;microempresarial
m;industria;fabrica de calzado;manrique central no. 2;1;3;2018-10-12;7800000;microempresarial
f;comercio;tienda;barrio caicedo;2;9;2016-12-07;6800000;microempresarial
m;servicio;recreativo educativo;la floresta;2;12;2016-03-09;6800000;microempresarial
m;servicio;mantenimiento en;belencito;2;13;2017-08-30;7300000;microempresarial
f;industria;fabrica de;villa hermosa;3;8;2016-07-27;3000000;microempresarial
f;servicio;peluqueria;doce de octubre no.1;2;6;2018-07-25;5000000;microempresarial
f;comercio;cafeteria;moravia;2;4;2018-12-07;7800000;microempresarial
f;servicio;recreativo educativo;granizal;1;1;2016-10-28;6000000;microempresarial
f;comercio;papeleria;manrique central no. 1;3;4;2017-08-17;5000000;microempresarial
f;comercio;tienda;castilla;3;5;2017-11-23;4000000;microempresarial
m;agropecuaria;almacen de ropa en;cabecera san cristobal;2;60;2017-10-24;6000000;microempresarial
m;servicio;mantenimiento en;buenos aires;3;9;2017-07-25;5000000;microempresarial
f;comercio;tienda naturista;campo valdes no. 1;3;4;2018-02-07;5000000;microempresarial
f;servicio;peluqueria;robledo;2;7;2017-11-29;5000000;microempresarial
m;agropecuaria;sembrados;cabecera san cristobal;2;60;2016-10-04;6000000;microempresarial
f;servicio;restaurante;loreto;2;9;2016-08-26;5000000;microempresarial
m;comercio;charcuteria;robledo;1;7;2016-10-20;6890000;microempresarial
f;comercio;restaurante;san javier no.1;1;13;2019-06-05;8000000;microempresarial
m;comercio;variedades;santo domingo savio ;1;1;2018-12-27;7800000;microempresarial
m;comercio;comidas rapidas;manrique central no. 1;3;4;2018-06-27;3000000;microempresarial
m;comercio;distribuidora de;manrique central no. 1;2;4;2018-11-27;2500000;microempresarial
f;industria;fabrica de;san javier no.1;1;13;2018-02-07;4000000;microempresarial
m;comercio;comidas rapidas;barrio caicedo;2;9;2017-11-29;7300000;microempresarial
f;comercio;almacen de ropa en;20 de julio;2;13;2017-07-05;5000000;microempresarial
f;servicio;peluqueria;la avanzada;1;1;2018-11-21;4500000;microempresarial
m;servicio;recreativo educativo;aranjuez;3;4;2017-11-02;7377000;microempresarial
f;servicio;peluqueria;manrique central no. 1;2;4;2016-11-08;6890000;microempresarial
f;comercio;distribuidora de;santa cruz;3;2;2018-02-19;1000000;microempresarial
f;servicio;restaurante;villa hermosa;3;8;2018-08-23;7000000;microempresarial
f;comercio;comidas rapidas;belen;3;16;2018-03-01;2200000;microempresarial
m;comercio;variedades;san javier no.1;1;13;2018-07-03;5000000;microempresarial
f;comercio;variedades;cabecera san antonio ;1;80;2018-06-05;3500000;microempresarial
f;industria;fabrica de;santo domingo savio ;2;1;2017-05-08;7000000;microempresarial
f;comercio;comidas rapidas;enciso;1;8;2016-10-26;8000000;microempresarial
m;industria;reciclaje;barrio caicedo;2;9;2016-12-13;6000000;microempresarial
m;comercio;charcuteria;guayabal;2;15;2018-11-16;1000000;microempresarial
m;comercio;comidas rapidas;buenos aires;3;9;2017-05-30;7300000;microempresarial
f;comercio;fabrica de;moravia;2;4;2017-01-26;3000000;microempresarial
m;comercio;almacen de ropa en;la francia;2;2;2018-08-02;5000000;microempresarial
f;industria;fabrica de;carpinelo;1;1;2018-02-28;4000000;microempresarial
f;comercio;tienda;manrique central no. 1;3;4;2016-11-23;2100000;microempresarial
f;comercio;granero;guayabal;2;15;2019-05-14;8288000;microempresarial
f;comercio;papeleria;manrique central no. 1;2;4;2018-07-24;7800000;microempresarial
f;comercio;fabrica de calzado;buenos aires;3;9;2016-09-15;6850000;microempresarial
f;comercio;miscelanea;campo valdes no. 1;3;4;2018-07-09;6000000;microempresarial
m;industria;fabrica de;versalles no. 1;1;3;2018-08-17;7800000;microempresarial
f;comercio;variedades;san javier no.1;1;13;2016-05-23;4000000;microempresarial
m;comercio;tienda;manrique central no. 2;2;3;2018-06-15;2000000;microempresarial
m;comercio;variedades;san javier no.1;2;13;2019-05-24;8000000;microempresarial
f;comercio;almacen de ropa en;manrique central no. 2;2;3;2017-08-01;7377000;microempresarial
f;servicio;venta de lacteos;manrique central no. 2;2;3;2016-10-03;6890000;microempresarial
f;servicio;mantenimiento en;popular;1;1;2018-08-03;780000;microempresarial
f;comercio;comidas rapidas;florencia;3;5;2018-12-13;7800000;microempresarial
m;comercio;tienda;doce de octubre no.1;2;6;2018-02-08;6000000;microempresarial
m;servicio;comidas rapidas;san javier no.1;2;13;2017-07-05;4000000;microempresarial
f;comercio;variedades;20 de julio;1;13;2018-12-06;7500000;microempresarial
f;industria;fabrica de;la francia;2;2;2016-08-31;6000000;microempresarial
f;servicio;restaurante;enciso;2;8;2018-06-01;7000000;microempresarial
f;servicio;publicidad y;enciso;2;8;2017-02-09;6000000;microempresarial
f;comercio;variedades;santo domingo savio ;1;1;2016-10-05;6850000;microempresarial
m;servicio;organización y;castilla;3;5;2018-01-24;7812000;microempresarial
f;comercio;papeleria;popular;2;1;2018-07-26;7800000;microempresarial
f;servicio;peluqueria;aranjuez;3;4;2018-11-07;7800000;microempresarial
m;comercio;restaurante;gerona;3;9;2016-10-12;6890000;microempresarial
f;comercio;sembrados;cabecera san cristobal;2;60;2018-04-25;19000000;agropecuaria
f;servicio;cafe e internet;el triunfo;2;6;2017-08-10;7000000;microempresarial
m;comercio;venta de calzado;santo domingo savio ;1;1;2018-05-29;7800000;microempresarial
f;comercio;restaurante;manrique central no. 1;2;4;2017-06-20;6000000;microempresarial
m;comercio;variedades;tricentenario;3;5;2018-03-20;7800000;microempresarial
m;industria;fabrica de;manrique central no. 1;3;4;2017-08-09;7000000;microempresarial
f;comercio;panaderia;robledo;1;7;2017-10-20;7370000;microempresarial
m;comercio;variedades;bello horizonte;1;7;2016-09-22;2000000;microempresarial
m;comercio;tienda;manrique oriental;2;3;2019-05-31;8000000;microempresarial
f;comercio;cafeteria;popular;2;1;2018-10-03;7000000;microempresarial
f;servicio;peluqueria;santo domingo savio ;1;1;2017-03-07;6000000;microempresarial
f;servicio;peluqueria;manrique central no. 2;2;3;2016-04-21;5000000;microempresarial
f;servicio;mantenimiento en;belen;3;16;2018-11-19;2000000;microempresarial
m;servicio;variedades;guayabal;3;15;2017-08-01;7000000;microempresarial
m;comercio;comidas rapidas;santa elena central;1;90;2018-07-03;4000000;microempresarial
m;servicio;comidas rapidas;belen;3;16;2016-10-05;68900000;microempresarial
f;comercio;tienda;buenos aires;3;9;2017-08-11;7300000;microempresarial
f;comercio;miscelanea;cabecera san cristobal;2;60;2016-06-02;4000000;microempresarial
f;comercio;variedades;castilla;3;5;2018-04-19;3000000;microempresarial
m;comercio;fabrica de calzado;moravia;2;4;2019-01-18;6000000;microempresarial
f;comercio;tienda;manrique oriental;3;3;2017-09-15;7000000;microempresarial
f;comercio;comidas rapidas;playon de los ;2;2;2018-09-05;5000000;microempresarial
f;servicio;tienda;la libertad;2;8;2016-10-07;5000000;microempresarial
f;comercio;variedades;pedregal;3;6;2017-11-23;7377000;microempresarial
m;comercio;barberia;robledo;2;7;2016-10-18;6890000;microempresarial
f;industria;marroquineria;granada;3;16;2017-09-26;7000000;microempresarial
f;comercio;charcuteria;aranjuez;3;4;2018-04-18;3500000;microempresarial
f;agropecuaria;taller de electronica;santa elena central;2;90;2016-05-16;6890000;agropecuaria
m;comercio;tienda;san javier no.1;1;13;2016-02-04;6600000;microempresarial
f;servicio;peluqueria;santa cruz;2;2;2018-11-30;7000000;microempresarial
f;comercio;almacen de ropa en;florencia;3;5;2016-12-16;6800000;microempresarial
f;comercio;tienda de helados;villa hermosa;2;8;2018-04-16;2000000;microempresarial
f;servicio;peluqueria;enciso;1;8;2016-09-07;3500000;microempresarial
f;comercio;miscelanea;toscana;2;5;2016-10-24;6000000;microempresarial
m;comercio;almacen de ropa en;robledo;3;7;2016-12-13;6890000;microempresarial
f;comercio;tienda;la pradera;3;13;2017-06-13;7300000;microempresarial
f;comercio;tienda de helados;manrique oriental;2;3;2018-11-14;7812000;microempresarial
f;comercio;comidas rapidas;aranjuez;1;4;2017-06-23;2000000;microempresarial
f;industria;fabrica de;manrique central no. 1;1;4;2018-05-16;5000000;microempresarial
m;servicio;miscelanea;la milagrosa;1;9;2016-07-22;6890000;microempresarial
f;comercio;drogueria;santo domingo savio ;1;1;2017-01-19;6890000;microempresarial
m;servicio;peluqueria;robledo;2;7;2018-07-16;7800000;microempresarial
m;industria;fabrica de;buenos aires;2;9;2016-05-31;6000000;microempresarial
f;industria;fabrica de;cabecera san cristobal;2;60;2016-11-22;4000000;microempresarial
f;comercio;comidas rapidas;moravia;2;4;2018-08-01;2500000;microempresarial
f;comercio;tienda de helados;cabecera san antonio ;2;80;2017-04-26;6000000;microempresarial
f;comercio;papeleria;san javier no.1;2;13;2016-09-08;4000000;microempresarial
f;comercio;comidas rapidas;altavista;2;70;2018-05-22;1000000;microempresarial
f;servicio;peluqueria;moravia;1;4;2018-04-11;7800000;microempresarial
f;comercio;tienda;robledo;2;7;2016-07-08;6890000;microempresarial
f;industria;ebanistaria;castilla;3;5;2016-05-05;4000000;microempresarial
f;comercio;almacen de ropa en;calasanz;3;12;2016-11-03;4500000;microempresarial
f;industria;fabrica de;juan xxiii la quiebra;1;13;2018-07-09;4000000;microempresarial
m;comercio;tienda;la milagrosa;3;9;2018-05-11;4000000;microempresarial
f;comercio;variedades;tejelo;3;5;2016-07-26;6890000;microempresarial
f;comercio;tienda;andalucia;2;2;2017-01-30;7377000;microempresarial
m;industria;fabrica de repuestos;buenos aires;3;9;2017-07-05;7300000;microempresarial
f;industria;fabrica de;manrique central no. 1;3;4;2018-04-25;1500000;microempresarial
m;industria;cerrajeria;cabecera san cristobal;2;60;2018-04-12;7800000;microempresarial
m;servicio;peluqueria;cabecera san antonio ;2;80;2018-03-02;7800000;microempresarial
f;industria;fabrica de;manrique central no. 1;2;4;2018-05-04;6000000;microempresarial
m;comercio;fabrica de calzado;pedregal;2;6;2017-05-26;7370000;microempresarial
f;industria;fabrica de;playon de los ;2;2;2019-06-12;6430800;microempresarial
f;comercio;variedades;barrio caicedo;1;9;2016-05-04;6800000;microempresarial
m;comercio;tienda;robledo;2;7;2019-02-20;8281000;microempresarial
f;comercio;legumbreria;florencia;2;5;2018-04-27;4400000;microempresarial
f;comercio;almacen de ropa en;aranjuez;3;4;2017-04-04;7377000;microempresarial
f;comercio;tienda;20 de julio;2;13;2018-02-07;1500000;microempresarial
f;comercio;variedades;buenos aires;1;9;2017-12-18;4000000;microempresarial
f;comercio;variedades;moravia;2;4;2018-05-18;7800000;microempresarial
f;industria;fabrica de;san javier no.1;2;13;2016-02-26;6000000;microempresarial
f;comercio;variedades;palermo;2;4;2018-03-06;7800000;microempresarial
m;servicio;variedades;calasanz;3;12;2017-10-11;5000000;microempresarial
f;industria;cerrajeria;belencito;2;13;2018-05-25;7800000;microempresarial
f;comercio;tienda;la floresta;3;12;2019-03-13;8281000;microempresarial
m;comercio;carniceria;popular;2;1;2016-03-04;6890000;microempresarial
m;servicio;barberia;buenos aires;1;9;2018-12-06;3500000;microempresarial
f;comercio;distribuidora de;altavista;2;16;2016-10-06;6890000;microempresarial
f;comercio;tienda;popular;2;1;2017-06-02;6000000;microempresarial
f;servicio;tienda de helados;13 de noviembre;1;8;2018-07-03;6000000;microempresarial
m;comercio;miscelanea;popular;1;1;2017-03-31;7370000;microempresarial
m;comercio;fabrica de alimentos;la floresta;2;12;2017-10-02;7370000;microempresarial
m;industria;fabrica de;manrique central no. 1;2;4;2017-07-27;7370000;microempresarial
f;comercio;variedades;robledo;2;7;2018-01-16;4400000;microempresarial
f;comercio;variedades;manrique central no. 1;3;4;2017-03-17;7377000;microempresarial
f;servicio;comidas rapidas;moravia;2;4;2016-08-04;6000000;microempresarial
f;comercio;fabrica de;santo domingo savio ;1;1;2018-10-26;7800000;microempresarial
f;industria;fabrica de;san pablo;2;1;2016-03-04;4000000;microempresarial
m;industria;fabrica de;aranjuez;3;4;2016-02-24;6000000;microempresarial
f;industria;fabrica de;manrique central no. 1;1;4;2016-08-09;6000000;microempresarial
m;comercio;variedades;manrique central no. 2;2;3;2018-07-16;7800000;microempresarial
f;comercio;almacen de ropa en;enciso;1;8;2016-10-04;4000000;microempresarial
f;comercio;almacen de ropa en;castilla;3;5;2017-10-04;3000000;microempresarial
f;comercio;tienda;robledo;2;7;2018-05-08;7000000;microempresarial
f;comercio;tienda;carpinelo;1;1;2017-10-30;1000000;microempresarial
f;industria;fabrica de;manrique oriental;2;3;2019-06-18;7800000;microempresarial
m;comercio;tienda;manrique central no. 1;2;4;2017-06-01;7000000;microempresarial
m;comercio;variedades;la milagrosa;3;9;2018-07-13;5000000;microempresarial
f;industria;fabrica de;buenos aires;2;9;2016-04-19;6800000;microempresarial
f;servicio;productos de belleza;manrique central no. 1;3;4;2019-03-05;5500000;microempresarial
f;comercio;fabrica de helados;doce de octubre no.1;2;6;2017-02-06;3000000;microempresarial
f;comercio;tienda;popular;2;1;2018-05-22;7800000;microempresarial
f;servicio;peluqueria;pablo vi;2;2;2017-01-26;7377000;microempresarial
m;comercio;almacen de ropa en;13 de noviembre;2;8;2017-03-27;7000000;microempresarial
f;comercio;cafeteria;eduardo santos;2;13;2018-08-14;7800000;microempresarial
f;comercio;variedades;cabecera san cristobal;1;60;2018-10-25;4000000;microempresarial
f;industria;fabrica de;cabecera san cristobal;2;60;2017-05-02;3000000;microempresarial
f;comercio;almacen de ropa en;buenos aires;3;9;2017-03-09;4000000;microempresarial
f;comercio;comidas rapidas;manrique oriental;2;3;2019-05-07;3500000;microempresarial
f;servicio;tienda;aranjuez;2;4;2016-07-27;5000000;microempresarial
m;comercio;tienda;las palmas;3;10;2018-05-11;3600000;microempresarial
m;comercio;tienda;robledo;3;7;2017-10-04;7300000;microempresarial
m;comercio;variedades;barrio cristobal;3;12;2016-03-29;6890000;microempresarial
f;industria;variedades;robledo;2;7;2017-08-08;5500000;microempresarial
f;comercio;variedades;enciso;1;8;2018-04-09;7000000;microempresarial
m;industria;fabrica de;buenos aires;3;9;2016-12-06;1000000;microempresarial
m;servicio;tienda naturista;santa elena central;3;90;2017-04-05;7000000;microempresarial
f;comercio;tienda;robledo;2;7;2017-03-06;1000000;microempresarial
f;comercio;fabrica de;manrique central no. 2;1;3;2016-08-02;6800000;microempresarial
f;industria;fabrica de;aranjuez;3;4;2016-04-05;6500000;microempresarial
f;comercio;tienda;santo domingo savio ;1;1;2018-09-03;1200000;microempresarial
f;industria;fabrica de colchones;enciso;1;8;2019-05-09;6000000;microempresarial
m;servicio;barberia;belen;1;16;2019-03-07;7000000;microempresarial
f;servicio;comidas rapidas;san javier no.1;2;13;2018-02-09;6000000;microempresarial
f;servicio;mantenimiento en;enciso;1;8;2016-02-23;6500000;microempresarial
f;comercio;variedades;manrique central no. 2;2;3;2016-09-12;6890000;microempresarial
f;comercio;tienda;villatina;2;8;2018-05-24;4000000;microempresarial
f;comercio;almacen de ropa en;san javier no.1;1;13;2017-05-12;6000000;microempresarial
f;servicio;fotografia;santa lucia;3;12;2018-02-21;7500000;microempresarial
f;comercio;tienda;cabecera san cristobal;2;60;2017-02-15;5000000;microempresarial
f;industria;fabrica de;calasanz;3;12;2017-07-04;7377000;microempresarial
f;comercio;tienda;villa hermosa;3;8;2017-10-26;7000000;microempresarial
f;comercio;productos de belleza;aranjuez;2;4;2019-03-13;8000000;microempresarial
m;industria;fabrica de productos;belen;3;16;2016-04-07;6000000;microempresarial
f;comercio;peluqueria;doce de octubre no.1;2;6;2018-03-13;5000000;microempresarial
m;comercio;restaurante;robledo;2;7;2017-07-14;7377000;microempresarial
f;comercio;variedades;sevilla;3;4;2018-07-04;7800000;microempresarial
m;comercio;distribuidora de;san javier no.1;2;13;2018-09-14;6000000;microempresarial
f;comercio;variedades;campo valdes no. 1;2;4;2016-08-01;6890000;microempresarial
f;comercio;tienda;pedregal;3;6;2017-10-30;7000000;microempresarial
m;servicio;barberia;aranjuez;2;4;2019-05-28;1200000;microempresarial
f;comercio;distribuidora de;robledo;2;7;2018-03-15;5000000;microempresarial
f;comercio;venta de calzado;manrique central no. 1;2;4;2017-02-17;5000000;microempresarial
m;comercio;distribuidora de;belen;2;16;2017-10-02;7300000;microempresarial
f;servicio;peluqueria;la milagrosa;3;9;2018-06-20;7500000;microempresarial
m;servicio;barberia;manrique central no. 2;1;3;2016-12-21;5000000;microempresarial
f;comercio;miscelanea;robledo;1;7;2016-12-16;6890000;microempresarial
f;comercio;tienda;san javier no.1;2;13;2019-06-11;829000;credioportuno
f;comercio;comidas rapidas;manrique oriental;2;3;2017-07-13;2500000;microempresarial
f;comercio;comidas rapidas;castilla;3;5;2017-03-21;7376000;microempresarial
f;comercio;tienda;girardot;3;5;2018-03-02;3500000;microempresarial
m;industria;fabrica de;popular;1;1;2017-03-29;4000000;microempresarial
f;comercio;restaurante;san pedro;2;4;2018-07-04;7200000;microempresarial
m;comercio;productos de belleza;castilla;3;5;2017-11-14;6000000;microempresarial
f;comercio;fabrica de calzado;guayabal;2;15;2019-05-06;8000000;microempresarial
f;comercio;tienda;santa cruz;2;2;2017-01-10;1000000;microempresarial
f;comercio;variedades;andalucia;2;2;2018-07-13;2500000;microempresarial
f;industria;fabrica de;villatina;2;8;2018-10-29;7800000;microempresarial
f;industria;almacen de ropa en;castilla;2;5;2018-09-14;6000000;microempresarial
m;comercio;tienda;manrique oriental;2;3;2018-10-03;6000000;microempresarial
f;industria;fabrica de;la milagrosa;2;9;2016-11-15;6890000;microempresarial
f;comercio;fabrica de;san javier no.1;2;13;2016-12-01;5300000;microempresarial
f;servicio;peluqueria;calasanz;2;12;2017-09-07;7000000;microempresarial
f;comercio;variedades;villa niza;2;2;2018-02-13;7800000;microempresarial
f;industria;fabrica de;buenos aires;2;9;2018-07-09;5000000;microempresarial
f;comercio;variedades;aranjuez;2;4;2019-01-09;2000000;microempresarial
m;industria;fabrica de;pedregal;2;6;2018-07-05;7000000;microempresarial
f;comercio;comidas rapidas;robledo;2;7;2016-12-21;6890000;microempresarial
f;comercio;variedades;san jose de la cima no. ;2;3;2018-09-20;7000000;microempresarial
m;industria;charcuteria;pedregal;3;6;2016-05-17;3000000;microempresarial
f;servicio;peluqueria;buenos aires;3;9;2017-07-21;7370000;microempresarial
f;servicio;peluqueria;las palmas;3;10;2018-01-25;4400000;microempresarial
f;comercio;productos de belleza;olaya herrera;1;7;2018-07-06;7800000;microempresarial
f;servicio;peluqueria;robledo;2;7;2019-01-09;8281000;microempresarial
m;industria;fabrica de;belen;3;16;2017-09-13;7000000;microempresarial
f;servicio;peluqueria;aranjuez;1;4;2017-02-16;6000000;microempresarial
f;industria;fabrica de;santo domingo savio ;2;1;2017-09-18;4000000;microempresarial
m;comercio;lenceria para el;la floresta;3;12;2018-05-25;7800000;microempresarial
f;servicio;fabrica de;la sierra;2;8;2018-12-28;7800000;microempresarial
f;industria;fabrica de;la cruz;1;3;2016-11-19;6000000;microempresarial
m;servicio;peluqueria;campo valdes no. 1;3;4;2018-09-14;7800000;microempresarial
f;servicio;comidas rapidas;belen;3;16;2016-04-12;4000000;microempresarial
f;comercio;almacen de ropa en;aranjuez;2;4;2017-11-24;7000000;microempresarial
f;comercio;comidas rapidas;20 de julio;1;13;2017-10-04;1800000;microempresarial
m;comercio;variedades;el socorro;2;13;2017-07-25;3000000;microempresarial
f;industria;fabrica de;robledo;1;7;2017-02-03;7377000;microempresarial
f;industria;fabrica de;villatina;2;8;2016-12-20;6890000;microempresarial
f;comercio;variedades;el raizal;1;3;2018-05-03;7800000;microempresarial
f;servicio;peluqueria;playon de los ;2;2;2016-12-02;6890000;microempresarial
m;comercio;variedades;aranjuez;3;4;2017-10-03;6000000;microempresarial
f;agropecuaria;sembrados;cabecera san cristobal;2;60;2017-09-28;7000000;microempresarial
f;industria;fabrica de;santa cruz;1;2;2018-11-23;2500000;microempresarial
m;comercio;variedades;castilla;3;5;2018-11-01;7800000;microempresarial
m;servicio;barberia;juan xxiii la quiebra;1;13;2017-08-14;7370000;microempresarial
m;servicio;barberia;santo domingo savio ;1;1;2018-05-16;3000000;microempresarial
f;comercio;almacen de ropa en;santa cruz;2;2;2018-02-07;1000000;microempresarial
f;comercio;variedades;santa cruz;2;2;2016-03-07;5000000;microempresarial
m;comercio;almacen de ropa en;castilla;2;5;2018-06-05;7800000;microempresarial
f;comercio;criadero de animales;pablo vi;2;2;2019-02-26;6000000;microempresarial
m;comercio;variedades;santo domingo savio ;2;1;2017-08-31;6000000;microempresarial
f;servicio;organización y;lopez de mesa;3;7;2017-04-24;7300000;microempresarial
m;comercio;venta de lacteos;robledo;1;7;2016-06-03;6890000;microempresarial
m;servicio;organización y;moravia;1;4;2016-12-07;6890000;microempresarial
m;comercio;comidas rapidas;jesus nazareno;1;10;2017-07-25;3000000;microempresarial
f;comercio;panaderia;villa hermosa;3;8;2018-01-30;2000000;microempresarial
m;comercio;papeleria;boston;3;10;2017-12-19;7300000;microempresarial
f;comercio;comidas rapidas;20 de julio;2;13;2018-08-21;5000000;microempresarial
m;industria;fabrica de;manrique oriental;1;3;2017-03-27;7000000;microempresarial
f;comercio;charcuteria;blanquizal;1;13;2016-11-29;6890000;microempresarial
f;industria;fabrica de;robledo;1;7;2016-08-30;6000000;microempresarial
f;industria;fabrica de;villa niza;2;2;2017-01-06;6000000;microempresarial
f;servicio;productos de belleza;villa hermosa;3;8;2018-05-11;7800000;microempresarial
f;servicio;comidas rapidas;manrique central no. 2;2;3;2016-06-01;6800000;microempresarial
m;industria;fabrica de;san javier no.1;2;13;2018-05-29;7800000;microempresarial
f;comercio;fabrica de helados;20 de julio;1;13;2018-12-06;1500000;microempresarial
m;servicio;cafe e internet;la milagrosa;2;2;2018-02-05;5000000;microempresarial
f;comercio;almacen de ropa en;alfonso lopez;3;5;2017-08-23;6000000;microempresarial
f;industria;fabrica de;campo valdes no. 1;3;4;2016-08-05;6800000;microempresarial
m;comercio;almacen de ropa en;enciso;3;8;2017-08-03;7377000;microempresarial
f;industria;fabrica de;san javier no.1;1;13;2016-06-29;5000000;microempresarial
f;comercio;miscelanea;altavista;1;70;2016-05-24;6890000;microempresarial
m;comercio;tienda;san javier no.1;3;13;2017-10-17;7300000;microempresarial
